#,題名,受付日,作業完了日,状況,部署,客先担当,ホスト,修理品型式,製造番号,症状,原因,処置,社内メモ,連絡欄,説明,最新のコメント
171669,[HB22275] 【通常保守】日立保健センター 健康づくり推進課,2026/06/11,2026/06/16,作業完了,健康づくり推進課,なめかわ様,CL420230,HP 250 G9,JPH329ZFNQ,"充電ができない。他のアダプタでは可。
","",故障機の回収及び交換機の設置をいたしました。,"■(6/11)16:47 TEL
■HP修理申込番号:ADNS202606110189001
■HP修理受付番号：5160702377","■(6/12)ACアダプタの設置をお願いいたします。
◇賃貸借契約","","アイ・イー・シー株式会社 ご担当者様

エイチ・シー・ネットワークス 担当です。
いつもお世話になっております。

下記対応お願いします。

受付番号：HB22275
お客様名: 日立市役所
拠点・学校名: 保健センター
客先担当: なめかわ様
客先担当TEL: 0294-21-3300
ホスト: CL420230
症状: 充電ができない。他のアダプタでは可。

ハード故障区分：
回収区分：
連絡欄：■(6/12)ACアダプタの設置をお願いいたします。

チケット内容：
https://hctkb13se03.apsg.local/sherpasm/issues/171669

よろしくお願いいたします。


"
171662,[HB22268] 【通常保守】消防本部,2026/06/11,2026/06/16,作業完了,警防課,ささき様,CL400127,HP 250 G7,JPH1286F26,マウスが認識しない。他のマウスでは問題ない。,"",故障機の回収及び交換機の設置をいたしました。,"■(6/11)13:35 デジタル推進課つかもと様
■HP修理申込番号：ADNS202606110121001
■HP修理受付番号：5160693413","■(6/12)マウスの設置をお願いいたします。
◇賃貸借契約","",""
171643,[HB22250] 【通常保守】日立市役所　広報戦略課,2026/06/09,2026/06/11,作業完了,広報戦略課,かじろ様,CL420154,HP 250 G9　570A0AV,JPH329ZFQ5,電源アダプタ不調。,"",交換機の設置及び故障機の回収を致しました。,"■(6/9)17:12　デジタル推進課つかもと様経由でご連絡
■(6/9)HP修理依頼
修理申込番号：ADNS202606090265001
修理受付番号：5160588966",◇賃貸借契約,"",""
171635,[HB22242] 【通常保守】日立市役所　共創プロジェクト推進本部,2026/06/09,2026/06/12,作業完了,共創プロジェクト推進本部,せき様,CL410071,HP Elite Dragonfly G2 2H6V9AV,JPH222CBLW,"パソコンボトムカバー底面のゴム外れ。
",ベースエンクロージャー不良のため。,ベースエンクロージャー交換いたしました。,"■(6/9)8:51　デジタル推進課つかもと様経由でご連絡
■(6/9)HP修理依頼
修理申込番号：ADNS202606090023001
修理受付番号：5160570239
■(6/11)　6/12(金)13:00～日立システムズ訪問修理予定",◇賃貸借契約,"",""
171616,[HB22223] 【通常保守】日立市役所,2026/06/05,2026/06/05,作業完了,学校施設課,勝間田様,TL400222,HP Elite Dragonfly,JPH12761X1,背面のゴムカバーが取れかかっている。,"",保証が切れている旨、お伝え致しました。(MobiConnectのみ更新),"■(6/5)16:09 デジタル推進課たん様
■7BWCX45Y2 テレワーク端末　再賃貸借（ソフトウェア更新）",◇賃貸借契約,"",""
171615,[HB22222] 【通常保守】日立市役所　生涯学習課,2026/06/05,2026/06/09,作業完了,生涯学習課,わだ様,CL420212,HP 250 G9　570A0AV,JPH329ZFR6,電源ケーブル不調。充電不可。,"",交換機の設置をいたしました。,"■(6/5)13:43
■(6/5)HP修理依頼
修理申込番号：ADNS202606050156001
修理受付番号：5160442570",◇賃貸借契約,"",""
171583,[HB22192] 【通常保守】日立市消防本部,2026/06/02,2026/06/02,作業完了,総務課,"",CL420208　他,"","","ネットワーク不調。
消防本部設置のCL420208(10.71.1.218)に対してpingを実行すると到達しない場合がある。",端末へのpingはタイムアウトする場合があり、S-Honbu-L2SWからpingを実施しても同様なため、S-Honbu-L2SW配下のHUBや配線に問題があると推察。,情報系設置のサーバから消防本部設置の情報系SW(S-Honbu-L2SW:10.254.254.43)まではping等の通信に問題なく、SWログもループのような形跡はないことをご案内しました。現地HUBの再起動を実施いただき、一時的に回復したようですが、15:00付近ではタイムアウトが再発しているようでした。5月21日に交換したHUBとは異なる機器のようですので、デジタル推進課様にてHUB交換いただけることを確認しました。配線等の問題の場合には別途ご連絡いただくようお伝えしました。,■(6/2)11:48　デジタル推進課田口様経由でご連絡,◇ヘルプデスク,"",""
171575,[HB22184] 【通常保守】南部支所,2026/06/02,2026/06/02,作業完了,"",いとう様,PR400148,FMPR5130(富士通),MA1604375,"印刷できない。
用紙抜取/手前排出のランプがオレンジ点滅している。","",お客様にて操作いただき、改善したとのご連絡をいただきました。,"■(6/2)9:13 TEL
■https://www.fmworld.net/biz/printer/support/manual/dot/fmpr5x30/B5WY1721_4.pdf
■富士通ハードウェア修理相談センター(プリンタ)：https://eservice.fujitsu.com/webrepair/rcw/sdn
■受付番号：260602-45-0018-0

お客様にて操作し、ユーザー点滅が消えたとのこと。
⇒印刷可能かご確認中
■(6/2)富士通からお客様へご連絡。お客様点検で改善したとのこと。",◇賃貸借契約,"",""
171562,[HB22171] 【通常保守】日立市南部消防署,2026/06/01,2026/06/02,作業完了,"",ながぬま様,"","","",LANケーブル爪折れ。2本。,LANケーブル爪折れのため（2個）,LANケーブル部のコネクタ再成端いたしました。（2個）,"■(6/1)11:06　デジタル推進課つかもと様経由でご連絡
",◇ヘルプデスク,"",""
171561,[HB22170] 【通常保守】日立市南部消防署,2026/06/01,2026/06/05,作業完了,"",ながぬま様,CL400077　他3台,HP 250 G7　14G24AV,"",マウス不調。ホイール空回り。,"",故障機の回収及び交換機の設置をいたしました。,"■(6/1)11:06　デジタル推進課つかもと様経由でご連絡
①CL400077　JPH12658DM　（修理受付番号：5160214698）
②CL400276　JPH1286F40　（修理受付番号：5160214768）
③CL400288　JPH1286F3Y　（修理受付番号：5160214824）
④CL400307　JPH1286DYZ　（修理受付番号：5160214878）
■(6/1)HP修理依頼
修理申込番号：ADNE202606010152004",◇ヘルプデスク,"",""
